Agencia_ID,Town,State
1110,2008 AG. LAGO FILT,"MÉXICO, D.F."
1111,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
1112,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
1113,2008 AG. LAGO FILT,"MÉXICO, D.F."
1114,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F."
1116,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1117,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1118,2007 AG. LA VILLA,"MÉXICO, D.F."
1119,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1120,2018 AG. TEPALCATES 2,"MÉXICO, D.F."
1121,2016 AG. SAN LORENZO,"MÉXICO, D.F."
1122,2019 AG. XALOSTOC,ESTADO DE MÉXICO
1123,2094 CHALCO_BM,ESTADO DE MÉXICO
1124,2021 AG. XOCHIMILCO 2,"MÉXICO, D.F."
1126,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
1127,2003 AG. COACALCO,ESTADO DE MÉXICO
1129,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1130,2010 AG. LOS REYES,ESTADO DE MÉXICO
1137,2014 AG. NEZA,ESTADO DE MÉXICO
1138,2015 AG. ROJO GOMEZ,"MÉXICO, D.F."
1139,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1140,2078 AG. TEXCOCO,ESTADO DE MÉXICO
1142,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1143,2088 AG. CEYLAN,"MÉXICO, D.F."
1146,2088 AG. CEYLAN,"MÉXICO, D.F."
1147,2003 AG. COACALCO,ESTADO DE MÉXICO
1150,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1152,2008 AG. LAGO FILT,"MÉXICO, D.F."
1153,2087 AG. TIZAYUCA,HIDALGO
1155,2003 AG. COACALCO,ESTADO DE MÉXICO
1156,2018 AG. TEPALCATES 2,"MÉXICO, D.F."
1159,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1160,2089 AG. AZCAPOTZALCO INSTITUCIONALES,"MÉXICO, D.F."
1164,2048 AG. IXTAPALUCA 1,ESTADO DE MÉXICO
1165,2010 AG. LOS REYES,ESTADO DE MÉXICO
1167,2116 Cruce De Anden Región Mexico,ESTADO DE MÉXICO
1168,2092 AG. SANTA CLARA AUTOSERVICIOS,ESTADO DE MÉXICO
1170,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1171,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1172,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
1173,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
